"filename","meal","rating","date","title"
"2021-02-19-4flames.md","dinner","3","2021-02-19","4Flames"
"2020-11-27-aberdeen-on-broadway.md","dinner","4","2020-11-27","Aberdeen On Broadway"
"2023-12-15-amador.md","dinner","2","2023-12-15","Amador"
"2021-12-04-amayjen.md","lunch","4","2021-12-04","Amayjen"
"2021-01-04-angkor-wat-bakery-cafe.md","lunch","2","2021-01-04","Angkor Wat Bakery & Cafe"
"2021-05-28-angkor.md","dinner","2","2021-05-28","Angkor"
"2023-11-24-arcimboldi.md","dinner","4","2023-11-24","Arcimboldi"
"2021-01-14-arranged-marriage.md","dinner","4","2021-01-14","Arranged Marriage"
"2021-07-02-asia-restaurant.md","dinner","2","2021-07-02","Asia Restaurant"
"2021-04-30-bangkok-thai.md","dinner","2","2021-04-30","Bangkok Thai"
"2021-11-19-beaver-bear.md","dinner","4","2021-11-19","Beaver & Bear"
"2022-02-13-best-ugly-bagel.md","breakfast","2","2022-02-13","Best Ugly Bagels"
"2022-05-07-beyond-coffee.md","lunch","2","2022-05-07","Beyond Coffee"
"2021-06-06-bing-house.md","","1","2021-06-06","Bing House"
"2020-11-07-black-pearl-cafe.md","dinner","1","2020-11-07","Black Pearl Cafe"
"2021-11-06-boho-cafe.md","lunch","3","2021-11-06","Boho Cafe"
"2024-01-29-boulcott-street-bistro.md","","3","2024-01-29","Boulcott Street Bistro"
"2021-11-05-breakers.md","dinner","2","2021-11-05","Breakers"
"2021-01-01-brew-union.md","lunch","4","2021-01-01","Brew Union"
"2021-03-06-burger-king.md","dinner","1","2021-03-06","Burger King"
"2021-04-05-burgerfuel.md","lunch","3","2021-04-05","Burgerfuel"
"2021-05-22-cafe-116.md","lunch","3","2021-05-22","Cafe 116"
"2021-07-03-cafe-40.md","lunch","1","2021-07-03","Cafe 40"
"2022-01-08-cafe-brie.md","","3","2022-01-08","Cafe Brie"
"2022-01-01-cafe-cuba.md","lunch","3","2022-01-01","Cafe Cuba"
"2022-04-02-cafe-eminem.md","dinner","2","2022-04-02","Cafe Eminem"
"2021-01-22-cafe-express.md","dinner","1","2021-01-22","Cafe Express"
"2021-01-30-cafe-ignition.md","lunch","1","2021-01-30","Cafe Ignition"
"2021-10-10-cafe-jacko.md","lunch","3","2021-10-10","Cafe Jacko"
"2022-02-12-cafe-royale.md","lunch","1","2022-02-12","Cafe Royale"
"2021-12-08-carl-s-jr.md","dinner","2","2021-12-08","Carl's Jr"
"2020-11-07-castle-789.md","dinner","1","2020-11-07","Castle 789"
"2022-01-01-chada-thai.md","dinner","2","2022-01-01","Chada Thai"
"2021-04-16-cheltenham-hotel.md","dinner","2","2021-04-16","Cheltenham Hotel"
"2022-01-28-chinatown-chinese-restaurant.md","dinner","1","2022-01-28","Chinatown Chinese Restaurant"
"2021-01-29-cloverlea-tavern.md","dinner","1","2021-01-29","Cloverlea Tavern"
"2021-12-20-coffee-plus.md","lunch","2","2021-12-20","Coffee Plus +"
"2024-01-19-concord-bistro-bar.md","dinner","2","2024-01-19","Concord Bistro & Bar"
"2021-04-05-counter-culture.md","dinner","2","2021-04-05","Counter Culture"
"2022-01-22-cravings-cafe.md","lunch","3","2022-01-22","Cravings Cafe"
"2021-06-12-cyclista.md","lunch","2","2021-06-12","Cyclista"
"2024-06-07-daisy-s.md","dinner","3","2024-06-07","Daisy's"
"2023-07-29-damascus-genuine-syrian-flavours.md","dinner","3","2023-07-29","Damascus Genuine Syrian Flavours"
"2021-08-13-dejeuner.md","dinner","2","2021-08-13","Dejeuner"
"2021-11-27-delish-cafe.md","lunch","3","2021-11-27","Delish Cafe"
"2024-07-02-dirty-little-secret.md","dinner","2","2024-07-02","Dirty Little Secret"
"2021-07-10-double-shotz.md","lunch","3","2021-07-10","Double Shotz"
"2024-04-19-el-barrio.md","dinner","2","2024-04-19","El Barrio"
"2021-02-05-empire-sports-garden-bar-restaurant.md","dinner","3","2021-02-05","Empire Sports & Garden Bar Restaurant"
"2023-05-12-english-dhaba.md","","2","2023-05-12","English Dhaba"
"2021-05-03-essence-cafe-bar.md","dinner","3","2021-05-03","Essence Cafe & Bar"
"2020-12-31-fast-food-house.md","lunch","1","2020-12-31","Fast Food House"
"2024-10-27-fast-lane-restaurant.md","lunch","1","2024-10-27","Fast Lane Restaurant"
"2021-12-04-fire-home.md","dinner","1","2021-12-04","Fire Home"
"2024-12-28-firebird.md","lunch","3","2024-12-28","Firebird"
"2021-12-30-flat-hills-cafe.md","","1","2021-12-30","Flat Hills Cafe & Tourist Park"
"2022-04-21-flavour.md","dinner","2","2022-04-21","Flavour"
"2021-03-20-focal-point-cinema-cafe.md","lunch","2","2021-03-20","Focal Point Cinema & Cafe"
"2020-11-14-fresh-bowl.md","lunch","3","2020-11-14","Fresh Bowl"
"2021-05-14-gengy-s-mongolian-bbq-buffet.md","dinner","2","2021-05-14","Gengy's Mongolian BBQ Buffet"
"2021-04-17-gold-kebabs.md","lunch","2","2021-04-17","Gold Kebabs"
"2022-12-22-brew-d.md","dinner","2","2022-12-22","Gorilla Burger"
"2021-11-26-hanamizuki-japanese-restaurant.md","dinner","3","2021-11-26","Hanamizuki Japanese Restaurant"
"2024-03-15-hey-ramen.md","dinner","1","2024-03-15","Hey Ramen"
"2023-08-11-hillside-kitchen.md","dinner","4","2023-08-11","Hillside Kitchen"
"2022-01-29-hungry-horse-cafe.md","lunch","2","2022-01-29","Hungry Horse Cafe"
"2021-07-30-indian-flavours.md","dinner","2","2021-07-30","Indian Flavours"
"2025-01-04-indian-indulgence.md","dinner","2","2025-01-04","Indian Indulgence"
"2021-04-23-indian-love-story.md","dinner","2","2021-04-23","Indian Love Story"
"2021-09-24-indian-summer.md","dinner","2","2021-09-24","Indian Summer"
"2021-05-21-indian2nite.md","dinner","1","2021-05-21","Indian2nite"
"2023-10-18-jack-hackett-s-irish-pub.md","dinner","2","2023-10-18","Jack Hackett's Irish Pub"
"2024-04-26-jeff-cafe-limited.md","dinner","1","2024-04-26","Jeff Cafe Limited"
"2021-06-11-jimmy-cook-s-kiwi-kitchen.md","dinner","2","2021-06-11","Jimmy Cook's Kiwi Kitchen"
"2022-07-02-joseph-street-kitchen.md","","3","2022-07-02","Joseph Street Kitchen"
"2021-05-29-kabbaba.md","lunch","2","2021-05-29","Kabbaba"
"2023-07-21-kebabs-on-queen.md","","2","2023-07-21","Kebabs On Queen"
"2025-01-04-king-cafe.md","lunch","2","2025-01-04","King Cafe"
"2021-06-20-la-patio.md","dinner","3","2021-06-20","La Patio Cafe & Bar"
"2021-10-25-le-cafe-telephonique.md","lunch","2","2021-10-25","Le Cafe Telephonique"
"2022-05-20-leuven-belgium-beer-cafe.md","","3","2022-05-20","Leuven Belgium Beer Cafe"
"2022-01-21-libre.md","dinner","3","2022-01-21","Libre"
"2021-06-18-lina-s.md","dinner","1","2021-06-18","Lina's"
"2021-01-08-little-india.md","dinner","3","2021-01-08","Little India"
"2020-11-17-little-savanna.md","dinner","3","2020-11-17","Little Savanna"
"2021-01-10-local.md","lunch","3","2021-01-10","Local"
"2021-10-08-lone-star.md","dinner","1","2021-10-08","Lone Star"
"2021-03-15-long-black-cafe.md","lunch","2","2021-03-15","Long Black Cafe"
"2022-12-31-lunch-money.md","breakfast","2","2022-12-31","Lunch Money"
"2020-12-28-master-bakery-coffee-shop.md","lunch","1","2020-12-28","Master Bakery & Coffee Shop"
"2021-07-07-mcdonald-s.md","dinner","2","2021-07-07","McDonald's"
"2024-09-07-mekong-cafe.md","dinner","2","2024-09-07","Mekong Cafe"
"2022-06-03-mekong-restaurant.md","dinner","1","2022-06-03","Mekong Restaurant"
"2023-01-26-mother-of-coffee.md","dinner","3","2023-01-26","Mother Of Coffee"
"2021-07-24-muffin-break.md","","1","2021-07-24","Muffin Break"
"2020-11-07-murray-s-irish-public-house.md","lunch","1","2020-11-07","Murray's Irish Public House"
"2021-10-01-namaste-bharat-indian-restaurant.md","dinner","2","2021-10-01","Namaste Bharat Indian Restaurant"
"2023-07-07-nando-s.md","dinner","2","2023-07-07","Nando's"
"2020-12-04-nero-restaurant.md","dinner","3","2020-12-04","Nero Restaurant"
"2021-04-09-noodles-dumplings.md","dinner","3","2021-04-09","Noodles & Dumplings"
"2022-04-30-nourish-cafe-deli.md","lunch","2","2022-04-30","Nourish Cafe & Deli"
"2020-12-12-o-briens-irish-sandwich-cafe.md","lunch","3","2020-12-12","O'Briens Irish sandwich Cafe"
"2023-08-26-orient.md","lunch","3","2023-08-26","Orient"
"2021-02-11-orlando-country-club.md","lunch","3","2021-02-11","Orlando Country Club"
"2021-10-30-phil-and-jo-s-cafe.md","lunch","1","2021-10-30","Phil and Jo's Cafe"
"2022-04-22-pho-nem-hanoi-home-cooking.md","dinner","3","2022-04-22","Pho Nem Hanoi Home Cooking"
"2021-10-02-pita-pit.md","lunch","3","2021-10-02","Pita Pit"
"2021-06-25-pompeii-pizza.md","dinner","2","2021-06-25","Pompeii Pizza"
"2022-01-21-provenance.md","dinner","4","2022-01-21","Provenance"
"2022-02-19-reburger.md","dinner","3","2022-02-19","ReBurger"
"2021-04-24-red-lantern.md","lunch","1","2021-04-24","Red Lantern"
"2021-06-26-robert-harris-cafe.md","lunch","3","2021-06-26","Robert Harris Cafe"
