filename,category,layout,title,date,rating,meal,address,country,region,suburb,website,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07-black-pearl-cafe.md,Reviews,post,Black Pearl Cafe,2020-11-07,1,dinner,"91 Broadway Avenue, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,http://www.blackpearlcafe.co.nz/,"Spring rolls Sweet & sour tofu Japanese curry with rice Warm sesame milk bubble tea The bubble tea was great, but all the vegetables were badly undercooked, and the meat was really chewy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07-castle-789.md,Reviews,post,Castle 789,2020-11-07,1,dinner,"789 Main Street, Hokowhitu, Palmerston North 4414",New Zealand,Palmerston North,Hokowhitu,https://www.facebook.com/castle789/?locale=zh_CN,"Fish & chips This venue describes itself as an eatery, that's a bit strong. This is a bar, with a bar snacks menu, the fish in our fish & chips was fish bites. Fortunately, they allow you to order in your own Dominos. Also: karaoke.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07-murray-s-irish-public-house.md,Reviews,post,Murray's Irish Public House,2020-11-07,1,lunch,"78/80 Fergusson Street, Feilding 4702",New Zealand,Manawatu,Feilding,https://murraysirishbar.com/,"Murray's pub burger Fish & chips The fish was a bit too fishy, the burger was dry and flavourless, although it did hold itself together well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14-fresh-bowl.md,Reviews,post,Fresh Bowl,2020-11-14,3,lunch,"5 Grey Street, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://www.instagram.com/popular/fresh-bowl-palmerston-north/,"Fried noodles, cabbage, red cabbage, red onion, carrot, garlic aioli, sweet chilli, tofu, and Singapore Steak Roast potato, cabbage, red cabbage, carrot, pickles, red onion, cheese, sesame sauce, and won tons This place is sort of like Subway, in that you choose a base (rice, potato, noodles), salads, sauces, and meats. Very popular, and frankly, we can see why. Tasty, well priced, lots of options. The potatoes were a little average, the tofu was a bit sloppy on the inside, and overall the meals were very salty, but they were very yummy. Lunch only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20-the-royal.md,Reviews,post,The Royal Hotel,2020-11-20,2,dinner,"44 Rangitikei Street, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://thenewroyalhotelpapaioea.com/,"Battered fish, chips, and salad Cheeseburger and chips What a surprise. Yes, this establishment is a bit run down and the menu is basic. But the food was well made, tasty, and excellent value for money. Exceeded expectations. In particular the salad with the fish & chips - many places just phone this salad in. Not The Royal. Fancy lettuce, red onion, carrot, cheese, capsicum, tomato, cucumber, salad dressing. Not two sad lettuce leaves and a single slice of cucumber like you get in some pubs. Also they weren't shy with the tartare and tomato sauces. And they had chicken salt on the chips for both meals, plus the burger was huge. If you want to enter the pool comp, be sure to bring your own cue. It's pretty serious business.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-28-the-cooperage-cafe.md,Reviews,post,The Cooperage Cafe,2020-11-28,1,lunch,"723 Main Street, Palmerston North Central, Palmerston North 4414",New Zealand,Palmerston North,Palmerston North Central,https://www.thecooperage.co.nz/,"Chicken, cranberry, and cream cheese filo with salad Butter chicken pie with salad Carrot cake with yoghurt Banana smoothie Oh dear, everything went wrong here. Although we weren't planning on drinking anything alcoholic, this establishment loudly announces on its signage that it is a licensed cafe. Right inside the door however is a sign that says no alcohol, and this is honestly the least of their problems. There was a really long and slow queue to order, and when we did finally order two items from their menu, we were informed that the wait would be 40 minutes. That's understandable on an exceptionally busy day, but The Cooperage was only about a third full... we just ate from the cabinet. The filo, the pie, and the carrot cake were passable. The salads that came with the meals had too much dressing, too much carrot, and not a lot of anything else. There was something wrong with the yoghurt, in fact, it was inedible. Two mysterious bowls, one of sour cream and one of tomato relish were delivered, it was not exactly clear what they were supposed to accompany, so we tried them both with everything hot. That was a mistake. The smoothie was from one of those Zero Degrees powder sachets, nobody would think there was any banana involved, and there was an unpleasant aftertaste typical of these powder smoothies. The staff seemed very stressed, and on the whole, not pleased to be there. There appear to be some management issues at The Cooperage, the last time we tried to eat here we were told we could only order from the cabinet as there was no cook. The whole experience was a bummer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29-saigon-restaurant-and-bar.md,Reviews,post,Saigon Restaurant & Bar,2020-11-29,2,dinner,"327 Broadway Avenue, Palmerston North Central, Palmerston North 4414",New Zealand,Palmerston North,Palmerston North Central,http://www.saigon.nz/,"Vietnamese stir fry with fried noodles and beef Lemongrass beef vermicelli salad For a Vietnamese restaurant, you wouldn't expect so many dishes to come with chips. That said, the food was pretty nice, and came out really fast. Ambiance was a bit weird, there was a live singer who was good, but the space is just too small for her. It was like they couldn't quite decide between being a restaurant or a bar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04-nero-restaurant.md,Reviews,post,Nero Restaurant,2020-12-04,3,dinner,"36 Amesbury Street, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,http://www.nerorestaurant.co.nz/,"3 cheese souffle Pumpkin risotto with stir-fried vegetables Pork belly with arancini, broccoli and pear Sticky date pudding with ice cream Nice place, intimate setting, good for couples. Very good service and meals were out really fast, complementary amuse bouche was a nice touch. The stir-fried vegetables were a poorly matched accompaniment to the risotto, which was otherwise nice. The pork belly was fantastic, mad props to the crackling. However the standout of the meal was the sticky date pudding, which is definitely the best we've had.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-05-yummy-mummys-cheesecakes.md,Reviews,post,Yummy Mummys Cheesecakes,2020-12-05,2,lunch,"67 Vogel Street, Woodville 4920",New Zealand,Manawatu,Woodville,https://www.facebook.com/yummymummyscheesecakes/,"Vegetarian panini Ploughman's sandwich Caramel brownie slice Candy cane cheesecake Although best known for their cheesecake, Yummy Mummy's has a respectable cafe (cabinet food only). The vegetarian panini was unusual and interesting but overall very nice. It contained apple which was an eye opener, in a good way. The sandwich was fairly pedestrian but well-made and tasty. The caramel brownie slice was very caramel-y and delicious. The candy cane cheesecake was polarising - one of us found it literally inedible. The other found it rather good. Yummy Mummy's has a great range of cheesecake flavours, candy cane being a festive limited-time special.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-12-o-briens-irish-sandwich-cafe.md,Reviews,post,O'Briens Irish sandwich Cafe,2020-12-12,3,lunch,"44 Broadway Avenue, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://www.obriens.co.nz/,"Celtic: mixed leaves, sundried tomato, cheddar, and red onion on multigrain bread Breakfast bun: bacon, egg, sausage and hollandaise on ciabatta Banana smoothie Peanut butter slab O'Briens makes a killer sandwich. The Celtic, which we asked to have without avocado, was very nice. Red onion is always a risk in a sandwich, often you get colossal pieces that all come out the side at once, in the Celtic however, the red onion was very subtle, and well proportioned. The ciabatta of the breakfast bun, was outstanding, soft, toasted to perfection, and delicious, but there were some minor structural issues. Both sandwiches came with ready salted chips, which was unusual, but not unwelcome. The banana smoothie certainly wasn't bad, but it didn't turn any heads. And the peanut butter slab was like a big Reese's piece, and what's not to like about that. It looks like a 90's Robert Harris on the inside, could use a revamp. The menu was vast and varied, truly a sandwich for every taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13-moxies-cafe.md,Reviews,post,Moxie's Cafe,2020-12-13,2,lunch,"67 George Street, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://www.facebook.com/moxiescafe.pn/,"Eggs benedict with mushroom Pork belly burger with chips Let us tell you about Steve's latte. Moxies was quite busy when we arrived, with a few reserved tables. The table next to us was reserved for Steve. While we were waiting for our meals to come out (which took 20 minutes, but they had told us 30 minutes and to be fair it was fairly busy) we watched with interest as a latte bowl complete with chocolate fish was delivered to Steve's reserved empty table for two. The latte sat there. And sat there. At a time when the latte was surely lukewarm the apparent manager (judging by the way he was bustling about and shaking hands with customers) removed the latte from the table and moved it to a neighbouring, non-reserved and much larger table. He removed the saucer and placed it atop the bowl as a lid of sorts, assumedly in a vain attempt to keep what little heat remained inside. Some time later a man and a woman arrived and sat at Steve's table. Was this Steve? Less than one minute later their meals arrived - Steve (?) and associate had clearly ordered in advance. Yet the latte remained banished to the other table. More mysteriously still, shortly after this two coffees (none of which was a latte bowl) arrived for Steve (?) and associate. Just as we were ready to give up hope, a gentleman arrived at the latte table. The manager greeted him and indicated the latte bowl, which the man started to drink. Was THIS Steve? Then who had sat at Steve's table? And why was the latte prepared SO FAR IN ADVANCE of either Steves' arrivals? We left Moxies after a pretty average meal with more questions than answers. During this drama, we did receive our food. The eggs benedict was just like a thousand others we've had. The pork belly burger was comically over-tall and so impossible to eat without deconstruction. Even if the burger hadn't been taller than Business Andy's face, pork belly is not suitable as a burger filling as it is too chewy - pulled pork would have been preferable. The burger was nice, just difficult to eat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18-the-bean-cafe.md,Reviews,post,The Bean Cafe,2020-12-18,1,dinner,"92 Broadway Avenue, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://www.facebook.com/beancafe/,"Honey glazed beef hot plate with rice Mee goreng with BBQ pork If you want to read some classic manga, this is the place for you. If you want a nice meal, maybe you'd be better looking elsewhere. The beef was yuck, it was very chewy, and had that flavour you remember from that time you made that awful stir fry with the cheapest beef from Pak'nSave when you were first flatting. The sauce, while very sweet wasn't bad, and neither were the vegetables, but the beef ruined the whole thing. The mee goreng was reasonable, but couldn't elevate this meal above a 1 by itself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19-shake-out.md,Reviews,post,Shake Out,2020-12-19,3,lunch,"Shop 2/199 Main Street, Takaro, Palmerston North 4412",New Zealand,Palmerston North,Takaro,https://www.shakeout.co/,"Cheeseburger Chicken burger Cheesy fries Cheesecake shake Shake Out is a fast food burger establishment, with a difference. The set-up is designed to be streamlined with cashierless, cashless ordering using a tablet, a limited menu and no customisation. Speaking as people who sometimes like to remove the tomato from their burger, the lack of customisation was a little disappointing. However, the burgers were very good. Quality, fresh ingredients and great buns, these were simple burgers done well. The burgers are small which is great for lunch and was reflected in the price. The cheesy fries came with a cheese dipping sauce which was a bit heart attack-esque. The cheesecake shake was similarly artery clogging but we appreciated the unique cheesecake flavour, although it was a bit sweet and was very thick - we recommend mixing the shake thoroughly before drinking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
