"filename","title","address","website"
"2020-11-07-black-pearl-cafe.md","Black Pearl Cafe","",""
"2020-11-07-castle-789.md","Castle 789","",""
"2020-11-07-murray-s-irish-public-house.md","Murray's Irish Public House","",""
"2020-11-14-fresh-bowl.md","Fresh Bowl","",""
"2020-11-14-the-fat-farmer.md","The Fat Farmer","",""
"2020-11-17-little-savanna.md","Little Savanna","",""
"2020-11-20-the-royal.md","The Royal Hotel","",""
"2020-11-27-aberdeen-on-broadway.md","Aberdeen On Broadway","",""
"2020-11-28-the-cooperage-cafe.md","The Cooperage Cafe","",""
"2020-11-29-saigon-restaurant-and-bar.md","Saigon Restaurant & Bar","",""
"2020-12-04-nero-restaurant.md","Nero Restaurant","",""
"2020-12-05-yummy-mummys-cheesecakes.md","Yummy Mummys Cheesecakes","",""
"2020-12-12-o-briens-irish-sandwich-cafe.md","O'Briens Irish sandwich Cafe","",""
"2020-12-13-moxies-cafe.md","Moxie's Cafe","",""
"2020-12-18-the-bean-cafe.md","The Bean Cafe","",""
"2020-12-19-shake-out.md","Shake Out","",""
"2020-12-28-master-bakery-coffee-shop.md","Master Bakery & Coffee Shop","",""
"2020-12-31-fast-food-house.md","Fast Food House","",""
"2021-01-01-brew-union.md","Brew Union","",""
"2021-01-04-angkor-wat-bakery-cafe.md","Angkor Wat Bakery & Cafe","",""
"2021-01-08-little-india.md","Little India","",""
"2021-01-10-local.md","Local","",""
"2021-01-14-arranged-marriage.md","Arranged Marriage","",""
"2021-01-15-tikka-talks.md","Tikka Talks","",""
"2021-01-16-stage-door-cafe.md","Stage Door Cafe","",""
"2021-01-22-cafe-express.md","Cafe Express","",""
"2021-01-25-rustic-steakhouse.md","Rustic Steakhouse","",""
"2021-01-29-cloverlea-tavern.md","Cloverlea Tavern","",""
"2021-01-30-cafe-ignition.md","Cafe Ignition","",""
"2021-02-05-empire-sports-garden-bar-restaurant.md","Empire Sports & Garden Bar Restaurant","",""
"2021-02-11-orlando-country-club.md","Orlando Country Club","",""
"2021-02-12-subway.md","Subway","",""
"2021-02-19-4flames.md","4Flames","",""
"2021-02-20-trio-cafe.md","Trio Cafe","",""
"2021-02-27-ashhurst-inn.md","Ashhurst Inn","",""
"2021-03-06-burger-king.md","Burger King","",""
